pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,6,6,0,0,0
-2,-6,2,0,0,0
-3,-6.5,15,0,0,0
1,0,0,5.8104,4.0218,11.1780
2,0,3,4.0345,3.9209,10.1588
3,0,6,4.6723,5.8559,9.1969
4,0,9,4.6449,7.0055,6.4695
5,0,11,5.0320,8.7795,5.4122
6,0,12,6.3945,9.9106,8.7608
7,0,13,5.7317,10.3349,6.9720
8,-2,12,7.4711,8.7923,3.1137
9,-4,12,7.8559,8.3570,3.2070
10,-6,12,10.0545,8.2283,1.3176
11,-6,6,9.7174,3.1826,6.1288
12,-3,6,6.4145,2.5432,7.0892
13,-3,4,12.3075,1.0133,7.6925
14,-2,1,8.0604,4.4726,16.3107
15,-4,1,9.5299,1.9385,10.2768
16,-6,1,10.3652,0.5559,9.2479
17,2,1,4.0229,5.8063,16.2312
18,4,1,5.1044,8.1924,14.9445
19,6,1,7.6435,10.0169,14.2487
20,6,6,0.5,8.6017,13.6361
21,2,11,5.1337,10.1730,7.8434
22,4,11,4.8524,12.3382,10.5642
23,6,11,6.3163,11.3559,12.5593
24,0,7.5,6.1690,8.8127,6.4759
25,3.2500,7.5,2.1544,8.4498,12.4055
26,-3.2500,7.5,9.9870,4.4689,4.9446
