pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,6,6,0,0,0
-2,-6,2,0,0,0
-3,-6.5,15,0,0,0
1,0,0,7.3439,6.0327,15.4526
2,0,3,6.0517,5.6635,9.9223
3,0,6,6.5981,1.2431,9.1698
4,0,9,6.7093,5.6249,9.4305
5,0,11,2.4469,12.6743,7.9853
6,0,12,9.2656,6.9580,8.7608
7,0,13,7.7295,9.9426,7.7984
8,-2,12,9.6338,12.4857,4.6705
9,-4,12,11.4734,8.0930,4.1947
10,-6,12,14.2609,9.1094,1.8271
11,-6,6,13.6020,4.7406,8.8748
12,-3,6,7.9150,3.8147,9.8706
13,-3,4,14.5613,1.5094,7.4436
14,-2,1,8.8355,6.5909,20.9132
15,-4,1,13.6042,2.8945,8.4635
16,-6,1,9.0908,0.5559,13.8233
17,2,1,5.9921,3.8066,21.2876
18,4,1,6.3365,12.0676,17.6439
19,6,1,8.7937,12.6,18.0931
20,6,6,1.08,8.9676,15.9508
21,2,11,6.6508,13.0283,11.0397
22,4,11,6.8389,15.2458,13.0449
23,6,11,9.0054,12.2825,15.9283
24,0,7.5,7.7460,11.5589,7.4302
25,3.2500,7.5,3.2317,8.2760,13.5751
26,-3.2500,7.5,12.8124,6.4905,6.3585
