pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,6,6,0,0,0
-2,-6,2,0,0,0
-3,-6.5,15,0,0,0
1,0,0,10.0546341463,7.4326666667,17.0185
2,0,3,7.4517391304,7.0635294118,15.4827777778
3,0,6,8.3133333333,10.1838095238,15.1853333333
4,0,9,8.1093181818,11.3915,11.1026315789
5,0,11,8.948,14.2505555556,9.3852631579
6,0,12,10.6655555556,16.2004761905,12.381
7,0,13,9.9975,16.5904761905,11.768
8,-2,12,12.5640909091,14.0383333333,6.0705
9,-4,12,13.183,13.872,5.5947058824
10,-6,12,16.0577272727,13.6241176471,3.2270588235
11,-6,6,15.2490909091,6.1405555556,10.593125
12,-3,6,11.01,5.2147368421,12.03375
13,-3,4,18.1522580645,2.909375,12.9388235294
14,-2,1,12.8276470588,8.1088888889,22.7214285714
15,-4,1,15.5011764706,4.2945454546,16.8152173913
16,-6,1,16.8361111111,1.9558823529,15.2233333333
17,2,1,7.3921052632,10.1095238095,22.8788888889
18,4,1,7.7365,13.6811111111,22.041875
19,6,1,10.2914285714,14,21.2072
20,6,6,1.0854285714,14.3025,17.538
21,2,11,8.7473684211,15.8705882353,13.1375
22,4,11,8.2389473684,16.6457894737,17.0864705882
23,6,11,10.8744444444,17.85,17.8711764706
24,0,7.5,10.6535,14.265,10.9084615385
25,3.25,7.5,4.6316666667,13.8194444444,15.6916666667
26,-3.25,7.5,16.3804761905,8.1033333333,8.7488235294
