pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,10.3,3,0,0,0
-2,-1,1,0,0,0
-3,0,12.5,0,0,0
1,0,0,5.7618,0.5,6.9357
2,0,2,5.5032,0.5,6.5101
3,0,4,7.5591,0.5,3.0762
4,0,6,8.0865,1.6881,2.3630
5,0,8,10.7986,2.3678,1.4334
6,0,10,9.6441,7.3884,0.5
7,0,12,11.8062,6.9037,0.5
8,1,9,11.9322,2.1179,0.5
9,2,9,7.5836,2.9685,1.8319
10,4,9,3.8523,5.2140,5.7878
11,5,9,3.3933,8.2989,2.7532
12,5,10,9.2087,5.7617,3.2206
13,5,11,7.9578,6.9048,1.4142
14,6,11,4.6081,5.8138,1.5390
15,7,11,6.9916,10.4307,4.0973
16,2,8,7.7379,2.3182,2.3719
17,2,7,8.2831,3.0260,3.8782
18,2,6,4.7540,2.2591,3.7701
19,2,5,5.8438,1.2598,3.0824
20,1,5,6.8236,0.8767,1.6034
21,-1,4,9.5827,0.5,3.2798
22,-1.5,6,8.8261,2.7493,2.1578
23,-1.5,2,8.7212,0.5,7.0786
24,-1.5,0,9.3155,0.5,8.1286
25,1,1,5.4156,0.7881,3.6816
26,3,1,3.6760,1.8207,7.8942
27,5,1,2.4293,1.6307,10.4257
28,7,1,0.8478,3.2413,12.7002
29,9,1,0.5816,5.8371,12.4021
30,9,3,0.5,0.6091,9.8238
31,9,4.5,0.5,7.5350,12.2532
32,7,4.5,0.5,5.5856,6.9123
33,7,2.5,1.2370,3.3877,11.5955
34,4,2.5,2.1503,1.4296,6.0033
35,3,2.5,3.6435,1.1668,7.9723
36,1,2.5,4.9368,0.5,5.7101
