pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,10.3,3,0,0,0
-2,-1,1,0,0,0
-3,0,12.5,0,0,0
1,0,0,10.4097,1.0092,11.4438
2,0,2,9.6477,1.2606,9.8164
3,0,4,8.5352,2.9900,7.2843
4,0,6,11.9271,4.1094,5.8286
5,0,8,10.7986,3.6989,5.3660
6,0,10,13.1557,8.9842,2.4450
7,0,12,13.4104,12.0588,0.92
8,1,9,11.9322,3.6032,2.9118
9,2,9,11.2876,5.4278,5.5572
10,4,9,5.5490,9.8148,10.2381
11,5,9,5.5499,13.5538,9.4550
12,5,10,13.7783,10.9542,7.6694
13,5,11,11.8160,8.5417,6.0462
14,6,11,5.2255,8.8201,8.3168
15,7,11,11.6535,15.3313,7.7898
16,2,8,14.6848,6.0381,5.6891
17,2,7,13.2575,5.6425,6.5250
18,2,6,6.0689,6.0142,8.4280
19,2,5,8.1604,4.9710,7.1702
20,1,5,11.9134,3.8622,7.0713
21,-1,4,13.6242,2.5667,4.9699
22,-1.5,6,13.4566,5.5031,5.4966
23,-1.5,2,12.1644,0.7082,9.4224
24,-1.5,0,12.6973,0.5585,9.5746
25,1,1,9.2495,3.0171,10.0426
26,3,1,8.1214,5.7533,12.9326
27,5,1,5.7039,5.7230,13.2727
28,7,1,4.8606,6.2182,16.7280
29,9,1,2.1881,10.0857,16.2204
30,9,3,1.65,2.9900,13.3594
31,9,4.5,3.8,10.0104,15.2843
32,7,4.5,2.6213,8.6924,10.3679
33,7,2.5,3.9186,8.3791,15.5125
34,4,2.5,6.5546,5.3377,8.9870
35,3,2.5,6.9377,4.4016,11.3103
36,1,2.5,7.7379,3.4888,7.3687
