pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,10.3,3,0,0,0
-2,-1,1,0,0,0
-3,0,12.5,0,0,0
1,0,0,12.4505555556,2.4092307692,12.84375
2,0,2,12.9183333333,2.6605882353,13.5386666667
3,0,4,14.2446666667,4.39,9.5661538462
4,0,6,16.4345833333,7.826875,7.2285714286
5,0,8,15.0981818182,10.475,6.766
6,0,10,18.0557894737,14.544,3.845
7,0,12,22.2429411765,14.7288235294,0.9229411765
8,1,9,16.6096428571,9.2205263158,4.3118181818
9,2,9,14.3995,10.4229411765,7.974375
10,4,9,11.1304761905,11.6927777778,12.731875
11,5,9,12.6627777778,15.2742857143,10.855
12,5,10,15.9095833333,13.4858823529,9.92
13,5,11,16.063125,14.6792307692,7.4461538462
14,6,11,17.3686363636,14.16625,10.196875
15,7,11,13.7853333333,16.9035294118,10.7593333333
16,2,8,16.61,9.6038461539,7.7073333333
17,2,7,14.8714285714,8.8753333333,8.87125
18,2,6,13.4626829268,7.9645833333,10.8246666667
19,2,5,13.5811764706,6.370952381,9.1425
20,1,5,13.4010526316,5.2622222222,8.689375
21,-1,4,16.190952381,3.9666666667,10.790625
22,-1.5,6,15.8715384615,8.3788235294,8.3164285714
23,-1.5,2,14.9753333333,2.1082352941,15.3117647059
24,-1.5,0,14.4621052632,1.9584615385,15.085625
25,1,1,12.07,4.4171428571,12.1052380952
26,3,1,9.5214285714,7.1533333333,14.9607142857
27,5,1,7.33,7.123,16.81625
28,7,1,6.2605882353,9.4510526316,20.1205882353
29,9,1,3.588125,11.4857142857,20.4721428571
30,9,3,1.6445,4.39,18.5992307692
31,9,4.5,5.2,14.1915,19.216875
32,7,4.5,4.02125,12.8645,14.924375
33,7,2.5,5.3186363636,10.6282352941,21.0292857143
34,4,2.5,8.942,7.639375,13.2075
35,3,2.5,10.0514285714,6.4983333333,14.8161538462
36,1,2.5,12.0623809524,4.8888235294,15.15875
