pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,13.1,1,0,0,0
-2,0.5,7,0,0,0
-3,13.5,14,0,0,0
1,0,0,8.0277,2.0913,13.6373
2,2,0,7.3483,2.4071,11.8660
3,4,0,5.0089,2.5049,12.0135
4,6,0,2.0545,5.4547,10.2630
5,8,0,1.3110,4.9274,7.8677
6,10,0,0.6304,7.2462,7.0050
7,12,0,1,10.1811,9.6331
8,13.5,0,1,10.7793,9.6468
9,13.5,2,1,9.2865,7.8555
10,12,2,1,8.2231,7.7997
11,10,2,1.0067,9.5671,7.1990
12,8,2,0.9501,6.1074,7.8877
13,6,2,4.4953,2.9167,6.9689
14,4,2,7.1237,2.5864,10.0764
15,2,2,8.6929,2.4274,9.9495
16,0,2,10.1707,2.6975,12.2103
17,0,4,7.2352,0.6819,12.6064
18,2,4,6.4845,1,7.2595
19,4,4,4.8621,1.4740,7.3059
20,6,4,2.4790,2.0461,7.5019
21,8,4,1.6839,3.8206,6.9819
22,10,4,1.0677,5.9383,6.2906
23,12,4,1,8.3645,7.2957
24,13.5,4,0.6667,9.9699,6.3329
25,13.5,6,1.1396,9.1989,3.5279
26,12,6,0.8640,8.6294,5.1135
27,10,6,0.8752,6.2098,3.7523
28,8,6,2.2222,3.2066,3.0171
29,6,6,3.5386,1.1952,4.9931
30,4,6,5.1395,1.2260,9.3145
31,2,6,8.6142,1,11.4285
32,0,6,6.8523,1,7.9197
33,0,8,8.9343,1,10.4496
34,2,8,10.1345,1,9.2044
35,4,8,4.9628,1,5.2878
36,6,8,4.8117,0.9773,5.8294
37,8,8,8.6,1.6551,3.3827
38,10,8,3.1271,4.3104,2.1032
39,12,8,3.1106,5.9465,1.7238
40,13.5,8,3.3603,9.4020,2.4388
41,13.5,10,4.0724,8.5548,1
42,12,10,3.1257,9.2125,0.6561
43,10,10,5.9102,7.0031,1.2776
44,8,10,8.6646,1.3666,1.4111
45,6,10,7.6450,2.5719,4.1838
46,4,10,9.3374,1.3664,4.7289
47,2,10,11.1751,1,8.9252
48,0,10,10.8887,0.9505,11.7405
49,13.5,12,7.6161,8.5935,1
50,12,12,8.5879,7.6527,1
51,10,12,5.0349,4.0265,0.8819
52,10,14,7.6762,7.2751,1.0260
53,12,14,10.4822,12.8530,1
54,13.5,14,11.3122,12.5232,1
55,6,12,8.7222,2.7524,4.2377
56,6,14,10.9620,7.1638,3.3847
57,4,14,12.8798,4.3839,4.9146
58,2,14,16.9076,3.1573,7.4095
59,4,12,12.1292,3.5023,5.9130
60,2,12,12.4638,1.7386,8.2901
