pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,13.1,1,0,0,0
-2,0.5,7,0,0,0
-3,13.5,14,0,0,0
1,0,0,11.3300,4.4163,17.1926
2,2,0,11.7624,7.7822,16.2852
3,4,0,8.9479,5.9069,14.2708
4,6,0,7.8190,7.7196,15.3836
5,8,0,5.1300,5.2226,11.0937
6,10,0,3.2328,11.0199,11.0099
7,12,0,1.3850,14.1247,14.6299
8,13.5,0,0.6147,14.0190,14.0461
9,13.5,2,0.5,13.4950,11.9145
10,12,2,0.9720,11.7978,12.1654
11,10,2,3.3192,13.6160,11.1234
12,8,2,4.6465,10.5516,11.9885
13,6,2,7.7136,8.9068,13.0799
14,4,2,10.9667,5.8593,14.2356
15,2,2,11.4173,6.7468,10.6131
16,0,2,11.7170,7.2981,16.3132
17,0,4,14.1730,3.7512,17.1432
18,2,4,8.7254,2.2988,8.3485
19,4,4,7.1333,6.2321,9.7822
20,6,4,7.5992,7.1481,12.0004
21,8,4,5.2967,7.3700,11.0131
22,10,4,3.4,9.9402,10.0972
23,12,4,2.9590,13.7288,9.6698
24,13.5,4,3.2863,13.1783,9.3102
25,13.5,6,4.7092,13.5060,7.0063
26,12,6,4.2525,11.4799,8.9739
27,10,6,4.9731,10.8694,7.6159
28,8,6,6.5782,4.5612,6.7024
29,6,6,7.5322,5.9938,9.3090
30,4,6,9.0839,5.5840,12.2415
31,2,6,12.8276,2.3285,14.5119
32,0,6,9.6745,0.5,10.8780
33,0,8,10.2643,0.5,15.1512
34,2,8,13.5762,2.0169,11.8775
35,4,8,5.5960,2.8042,7.2483
36,6,8,6.6985,3.8120,9.3021
37,8,8,8.6,6.1426,4.9536
38,10,8,6.6454,7.7411,5.4513
39,12,8,7.7683,8.2316,5.4795
40,13.5,8,8.5366,13.5389,7.0289
41,13.5,10,8.7891,11.7361,2.9082
42,12,10,7.3286,12.9316,3.1067
43,10,10,9.0169,11.1416,4.1456
44,8,10,12.0893,6.0031,5.2781
45,6,10,8.5531,6.8190,8.5611
46,4,10,11.0610,5.1035,5.7475
47,2,10,15.4251,2.5969,11.5530
48,0,10,13.4999,3.9993,13.9248
49,13.5,12,9.7586,11.7807,2.3973
50,12,12,12.8784,10.9304,1.9191
51,10,12,11.3600,4.6946,3.6082
52,10,14,11.4727,12.6431,3.5687
53,12,14,14.8325,14.6971,1.8214
54,13.5,14,14.8232,16.2532,0.5
55,6,12,13.1089,7.3108,8.9659
56,6,14,13.9749,10.6462,6.0892
57,4,14,15.8608,8.4282,9.2736
58,2,14,20.1687,7.1417,12.5967
59,4,12,16.1400,7.6387,6.8055
60,2,12,17.1080,5.0366,10.5342
