pos,x_ground_truth,y_ground_truth,ap1_meas_dist,ap2_meas_dist,ap3_meas_dist
-1,13.1,1,0,0,0
-2,0.5,7,0,0,0
-3,13.5,14,0,0,0
1,0,0,14.9656,7.8635,19.4593333333
2,2,0,13.784,9.3247058824,18.4906666667
3,4,0,10.3478571429,8.9992307692,18.6411111111
4,6,0,9.219,11.7391666667,17.4254545455
5,8,0,6.53,12.8207692308,15.7695
6,10,0,4.6327777778,13.035,15.0352631579
7,12,0,2.785,16.0928571429,16.401875
8,13.5,0,2.0147058824,15.5566666667,15.4461111111
9,13.5,2,1.5675,15.4415789474,14.010952381
10,12,2,2.372,14.0707142857,15.1977272727
11,10,2,4.7192,15.265625,14.295
12,8,2,6.0465,13.3496296296,14.2613333333
13,6,2,10.4141666667,11.1025925926,14.9263636364
14,4,2,14.225,7.3736842105,16.840625
15,2,2,16.515,9.0055555556,16.9288888889
16,0,2,16.5,8.698125,19.7491666667
17,0,4,15.5730434783,5.1511764706,19.3217647059
18,2,4,12.6857142857,3.6988235294,16.0114285714
19,4,4,11.1425,7.8288888889,13.71
20,6,4,9.0977777778,8.548125,14.915
21,8,4,6.7986666667,10.720952381,14.425
22,10,4,4.8,12.763125,11.9213333333
23,12,4,4.359,15.3025,13.7835714286
24,13.5,4,4.6863157895,16.9661111111,13.7470588235
25,13.5,6,6.1092307692,15.9278571429,11.056875
26,12,6,5.6525,15.0857894737,11.0769230769
27,10,6,6.373125,12.988125,9.9406666667
28,8,6,8.4028571429,10.416,10.1533333333
29,6,6,9.8961111111,7.3938095238,11.6553846154
30,4,6,11.688125,6.984,15.9182352941
31,2,6,14.2276470588,3.7284615385,18.365
32,0,6,15.6258333333,1.4772321429,18.19375
33,0,8,16.4253846154,1.3864285714,18.4441666667
34,2,8,16.5675,3.4169230769,17.2544444444
35,4,8,13.1464285714,4.2041666667,13.82
36,6,8,11.5357894737,5.212,11.8727272727
37,8,8,8.6,7.7416666667,10.7988888889
38,10,8,9.7107692308,9.8476923077,7.0723076923
39,12,8,10.3,12.692,7.5766666667
40,13.5,8,10.6014285714,14.9929411765,8.7264285714
41,13.5,10,10.73,14.4330769231,4.3081818182
42,12,10,9.8082352941,14.698,4.5066666667
43,10,10,12.2847368421,13.2941666667,5.588
44,8,10,13.8788888889,8.471875,6.8014285714
45,6,10,15.3821428571,8.2190476191,11.3883333333
46,4,10,14.85375,6.6606666667,14.46
47,2,10,17.797,3.9969230769,16.843
48,0,10,17.3264705882,5.3992857143,20.2907142857
49,13.5,12,14.4282608696,14.6307142857,3.7973333333
50,12,12,14.9892857143,14.4147058824,3.3190909091
51,10,12,12.76,13.039375,5.0082352941
52,10,14,14.9930769231,15.8188888889,4.9686666667
53,12,14,16.5392105263,19.2335294118,3.2214285714
54,13.5,14,18.0036363636,18.5154545455,1.4623529412
55,6,12,16.072,9.3726666667,11.0222222222
56,6,14,17.7114285714,13.8714285714,10.5447058824
57,4,14,19.6669230769,9.9523076923,12.3786666667
58,2,14,21.5686666667,9.1638461539,14.7373076923
59,4,12,18.2465217391,9.1092857143,15.295
60,2,12,19.6616666667,7.8371428571,17.3204347826
