[2019-01-25 17:24:43] 	signal: -73 dBm
[2019-01-25 17:24:44] 	signal: -54 dBm
[2019-01-25 17:24:45] 	signal: -54 dBm
[2019-01-25 17:24:46] 	signal: -54 dBm
[2019-01-25 17:24:47] 	signal: -54 dBm
[2019-01-25 17:24:48] 	signal: -54 dBm
[2019-01-25 17:24:49] 	signal: -54 dBm
[2019-01-25 17:24:50] 	signal: -54 dBm
[2019-01-25 17:24:51] 	signal: -54 dBm
[2019-01-25 17:24:52] 	signal: -54 dBm
[2019-01-25 17:24:53] 	signal: -54 dBm
[2019-01-25 17:24:54] 	signal: -54 dBm
[2019-01-25 17:24:55] 	signal: -54 dBm
[2019-01-25 17:24:56] 	signal: -55 dBm
[2019-01-25 17:24:57] 	signal: -55 dBm
[2019-01-25 17:24:58] 	signal: -55 dBm
[2019-01-25 17:24:59] 	signal: -51 dBm
[2019-01-25 17:25:00] 	signal: -51 dBm
[2019-01-25 17:25:01] 	signal: -51 dBm
[2019-01-25 17:25:02] 	signal: -51 dBm
[2019-01-25 17:25:03] 	signal: -51 dBm
[2019-01-25 17:25:04] 	signal: -51 dBm
[2019-01-25 17:25:05] 	signal: -51 dBm
[2019-01-25 17:25:06] 	signal: -51 dBm
[2019-01-25 17:25:08] 	signal: -51 dBm
[2019-01-25 17:25:09] 	signal: -51 dBm
